Type,Virus Family,SHA-256,Benign Tasks,Duration,No. of Commands,Read Traffic,Write Traffic,Disk Size,Victim Data,Source,OS,Recording_Index
Benign,,,"Encrypt_using_aescrypt, Disk indexing",1003,6324453,50,67,512GB,Set 4,In-house,Windows,2
Benign,,,"Compress_using_7z_sw, Disk indexing",1002,634181,28,30,100GB,Set 2,In-house,Windows,3
Benign,,,Compress_using_7z_sw,1003,2826092,46,51,512GB,Set 3,In-house,Windows,4
Benign,,,Do_git_repository,1003,4290611,54,66,512GB,Set 5,In-house,Windows,5
Benign,,,User_files_wipe,1002,1849104,6,507,512GB,Set 3,In-house,Windows,6
Benign,,,User_files_wipe,1003,2931578,42,91,512GB,Set 3,In-house,Windows,7
Benign,,,Compress_using_7z_sw,1003,1058832,40,45,512GB,Set 5,In-house,Windows,8
Benign,,,Cmake_from_source,1003,3647225,37,48,512GB,Set 5,In-house,Windows,9
Benign,,,Compress_using_7z_sw,1003,1430896,25,32,100GB,Set 1,In-house,Windows,10
Benign,,,"User_files_wipe, Disk indexing",1002,5335159,47,92,512GB,Set 4,In-house,Windows,11
Benign,,,"Anaconda_package, Disk indexing",1002,3373778,51,60,512GB,Set 4,In-house,Windows,12
Benign,,,Install_package,1003,1352310,43,49,512GB,Set 5,In-house,Windows,13
Benign,,,Encrypt_using_aescrypt,1003,1560627,27,31,100GB,Set 1,In-house,Windows,14
Benign,,,"Cmake_from_source, Disk indexing",1002,1002804,27,35,100GB,Set 2,In-house,Windows,15
Benign,,,Get_and_install_apps,1003,4533565,38,49,512GB,Set 5,In-house,Windows,16
Benign,,,Install_package,1002,2743702,38,44,512GB,Set 3,In-house,Windows,17
Benign,,,"User_files_wipe, Disk indexing",1002,1105727,24,88,100GB,Set 2,In-house,Windows,18
Benign,,,Get_and_install_apps,1003,1768268,27,33,100GB,Set 1,In-house,Windows,19
Benign,,,"Get_and_install_apps, Disk indexing",1003,2923756,46,50,512GB,Set 4,In-house,Windows,20
Benign,,,"Encrypt_using_aescrypt, Disk indexing",1003,830274,26,25,100GB,Set 2,In-house,Windows,21
Benign,,,"Compress_using_7z_sw, Disk indexing",1002,3660765,60,65,512GB,Set 4,In-house,Windows,22
Benign,,,User_files_wipe,1003,2116189,3,505,512GB,Set 5,In-house,Windows,23
Benign,,,User_files_wipe,1003,2116189,3,505,512GB,Set 5,In-house,Windows,24
Benign,,,"Do_git_repository, Disk indexing",1002,810329,26,26,100GB,Set 2,In-house,Windows,25
Benign,,,Test_drive_speed,66,203840,3,2,100GB,Set 1,In-house,Windows,26
Benign,,,Install_package,1002,1480569,29,36,100GB,Set 1,In-house,Windows,27
Benign,,,User_files_wipe,1004,1391095,24,48,100GB,Set 1,In-house,Windows,28
Benign,,,"Compress_rar_using_winrar, Disk indexing",1002,3436907,59,64,512GB,Set 4,In-house,Windows,29
Benign,,,Anaconda_package,1003,1070132,40,44,512GB,Set 5,In-house,Windows,30
Benign,,,"Get_and_install_apps, Disk indexing",1002,574487,26,28,100GB,Set 2,In-house,Windows,31
Benign,,,Get_and_install_apps,1002,3462361,45,55,512GB,Set 3,In-house,Windows,32
Benign,,,User_files_wipe,1003,4372144,46,113,512GB,Set 5,In-house,Windows,33
Benign,,,Anaconda_package,1003,1361933,26,29,100GB,Set 1,In-house,Windows,34
Benign,,,"Install_package, Disk indexing",1002,3478004,52,59,512GB,Set 4,In-house,Windows,35
Benign,,,Do_git_repository,1002,1432586,26,29,100GB,Set 1,In-house,Windows,36
Benign,,,Compress_rar_using_winrar,1003,1084446,47,50,512GB,Set 5,In-house,Windows,37
Benign,,,"Anaconda_package, Disk indexing",1003,607028,25,25,100GB,Set 2,In-house,Windows,38
Benign,,,Encrypt_using_aescrypt,1004,3995884,53,67,512GB,Set 5,In-house,Windows,39
Benign,,,Cmake_from_source,1002,2203762,31,52,100GB,Set 1,In-house,Windows,40
Benign,,,Anaconda_package,1002,2697257,42,47,512GB,Set 3,In-house,Windows,41
Benign,,,Cmake_from_source,1003,4088611,42,63,512GB,Set 3,In-house,Windows,42
Benign,,,"Compress_rar_using_winrar, Disk indexing",1003,617869,26,26,100GB,Set 2,In-house,Windows,43
Benign,,,Encrypt_using_aescrypt,1003,4245024,40,46,512GB,Set 3,In-house,Windows,44
Benign,,,"User_files_wipe, Disk indexing",1003,847459,29,48,100GB,Set 2,In-house,Windows,45
Benign,,,User_files_wipe,1003,2925255,48,113,100GB,Set 1,In-house,Windows,46
Benign,,,"User_files_wipe, Disk indexing",1003,3668636,48,94,512GB,Set 4,In-house,Windows,47
Benign,,,Compress_rar_using_winrar,1003,1320449,26,28,100GB,Set 1,In-house,Windows,48
Benign,,,Do_git_repository,1002,2616084,52,60,512GB,Set 3,In-house,Windows,49
Benign,,,Compress_rar_using_winrar,1003,3586292,43,52,512GB,Set 3,In-house,Windows,50
Benign,,,"Cmake_from_source, Disk indexing",1003,3638352,51,62,512GB,Set 4,In-house,Windows,51
Benign,,,"Compress_using_7z_sw, Get_and_install_apps, User_files_wipe, Disk indexing",503,1604766,22,35,512GB,Set 4,In-house,Windows,10000
Benign,,,"Compress_using_7z_sw, Get_and_install_apps, Install_package, Disk indexing",502,1685863,27,29,512GB,Set 4,In-house,Windows,10001
Benign,,,"Anaconda_package, Do_git_repository, Get_and_install_apps, Disk indexing",502,2345797,23,29,512GB,Set 4,In-house,Windows,10002
Benign,,,"Compress_using_7z_sw, Do_git_repository, Encrypt_using_aescrypt, Disk indexing",503,989295,17,18,512GB,Set 4,In-house,Windows,10003
Benign,,,"Compress_using_7z_sw, Do_git_repository, Get_and_install_apps, Disk indexing",506,616750,13,13,512GB,Set 4,In-house,Windows,10004
Benign,,,"Compress_using_7z_sw, Do_git_repository, Get_and_install_apps, Disk indexing",503,617020,17,16,512GB,Set 4,In-house,Windows,10005
Benign,,,"Cmake_from_source, Compress_rar_using_winrar, Compress_using_7z_sw, Disk indexing",509,220912,17,14,512GB,Set 4,In-house,Windows,10006
Benign,,,"Anaconda_package, Get_and_install_apps, Install_package, Disk indexing",502,1827803,20,22,512GB,Set 4,In-house,Windows,10007
Benign,,,"Compress_using_7z_sw, Get_and_install_apps, Install_package, Disk indexing",509,1935686,27,28,512GB,Set 4,In-house,Windows,10008
Benign,,,"Encrypt_using_aescrypt, Get_and_install_apps, Install_package, Disk indexing",502,1664428,10,11,512GB,Set 4,In-house,Windows,10009
Benign,,,"Anaconda_package, Cmake_from_source, Get_and_install_apps, Disk indexing",504,1655588,18,21,512GB,Set 4,In-house,Windows,10010
Benign,,,"Compress_using_7z_sw, Get_and_install_apps, Install_package, Disk indexing",505,842317,19,19,512GB,Set 4,In-house,Windows,10011
Benign,,,"Compress_using_7z_sw, Encrypt_using_aescrypt, Get_and_install_apps, Disk indexing",503,730116,20,16,512GB,Set 4,In-house,Windows,10012
Benign,,,"Compress_rar_using_winrar, Get_and_install_apps, User_files_wipe, Disk indexing",503,1028026,13,60,512GB,Set 4,In-house,Windows,10013
Benign,,,"Do_git_repository, Disk indexing",1002,3534959,56,62,512GB,Set 4,In-house,Windows,1
Benign,,,"Cmake_from_source, Get_and_install_apps, User_files_wipe, Disk indexing",503,1817101,19,31,512GB,Set 4,In-house,Windows,10014
Benign,,,"Compress_using_7z_sw, Do_git_repository, Install_package, Disk indexing",503,1543169,21,24,512GB,Set 4,In-house,Windows,10015
Benign,,,"Compress_using_7z_sw, Get_and_install_apps, User_files_wipe, Disk indexing",504,769016,15,27,512GB,Set 4,In-house,Windows,10016
Benign,,,"Cmake_from_source, Compress_using_7z_sw, Install_package, Disk indexing",508,869610,14,14,512GB,Set 4,In-house,Windows,10017
Benign,,,"Compress_using_7z_sw, Do_git_repository, Install_package, Disk indexing",504,747394,17,16,512GB,Set 4,In-house,Windows,10018
Benign,,,"Compress_using_7z_sw, Install_package, User_files_wipe, Disk indexing",502,626394,12,28,512GB,Set 4,In-house,Windows,10019
Benign,,,"Anaconda_package, Compress_using_7z_sw, Get_and_install_apps, Disk indexing",503,318369,17,14,512GB,Set 4,In-house,Windows,10020
Benign,,,"Anaconda_package, Cmake_from_source, Compress_using_7z_sw, Disk indexing",502,866793,17,17,512GB,Set 4,In-house,Windows,10021
Benign,,,"Anaconda_package, Get_and_install_apps, User_files_wipe, Disk indexing",503,1909324,19,37,512GB,Set 4,In-house,Windows,10022
Benign,,,"Anaconda_package, Compress_using_7z_sw, Get_and_install_apps, Disk indexing",503,1766089,24,26,512GB,Set 4,In-house,Windows,10023
Benign,,,"Compress_using_7z_sw, Encrypt_using_aescrypt, Install_package, Disk indexing",502,740563,19,17,512GB,Set 4,In-house,Windows,10024
Benign,,,"Anaconda_package, Do_git_repository, Get_and_install_apps, Disk indexing",503,2547155,26,29,512GB,Set 4,In-house,Windows,10025
Benign,,,"Anaconda_package, Compress_using_7z_sw, Install_package, Disk indexing",508,631549,16,14,512GB,Set 4,In-house,Windows,10026
Benign,,,"Anaconda_package, Compress_using_7z_sw, Do_git_repository, Disk indexing",503,1768426,25,27,512GB,Set 4,In-house,Windows,10027
Benign,,,"Cmake_from_source, Compress_using_7z_sw, Do_git_repository, Disk indexing",503,1345572,21,22,512GB,Set 4,In-house,Windows,10028
Benign,,,"Anaconda_package, Compress_using_7z_sw, Install_package, Disk indexing",505,937396,19,20,512GB,Set 4,In-house,Windows,10029
Benign,,,"Compress_rar_using_winrar, Compress_using_7z_sw, Encrypt_using_aescrypt, Disk indexing",503,168539,6,10,512GB,Set 4,In-house,Windows,10030
Benign,,,"Compress_rar_using_winrar, Compress_using_7z_sw, Do_git_repository, Disk indexing",502,201151,6,10,512GB,Set 4,In-house,Windows,10031
Benign,,,"Compress_using_7z_sw, Do_git_repository, Get_and_install_apps, Disk indexing",503,1907327,27,30,512GB,Set 4,In-house,Windows,10032
Benign,,,"Compress_using_7z_sw, Encrypt_using_aescrypt, Get_and_install_apps, Disk indexing",503,2711460,31,39,512GB,Set 4,In-house,Windows,10033
Benign,,,"Anaconda_package, Compress_using_7z_sw, Do_git_repository, Disk indexing",502,785914,21,20,512GB,Set 4,In-house,Windows,10034
Benign,,,"Compress_using_7z_sw, Do_git_repository, Get_and_install_apps, Disk indexing",503,1821317,29,30,512GB,Set 4,In-house,Windows,10035
Benign,,,"Cmake_from_source, Compress_using_7z_sw, Get_and_install_apps, Disk indexing",505,1604454,22,25,512GB,Set 4,In-house,Windows,10036
Benign,,,"Compress_rar_using_winrar, Compress_using_7z_sw, Install_package, Disk indexing",503,359352,15,18,512GB,Set 4,In-house,Windows,10037
Benign,,,"Compress_using_7z_sw, Install_package, User_files_wipe, Disk indexing",502,1210837,18,24,512GB,Set 4,In-house,Windows,10038
Benign,,,"Anaconda_package, Compress_using_7z_sw, Install_package, Disk indexing",503,1411511,22,23,512GB,Set 4,In-house,Windows,10039
Benign,,,"Compress_using_7z_sw, Do_git_repository, Install_package, Disk indexing",503,2188625,28,32,512GB,Set 4,In-house,Windows,10040
Benign,,,"Get_and_install_apps, Install_package, User_files_wipe, Disk indexing",503,2495433,24,44,512GB,Set 4,In-house,Windows,10041
Benign,,,"Compress_using_7z_sw, Get_and_install_apps, User_files_wipe, Disk indexing",502,1990825,29,36,512GB,Set 4,In-house,Windows,10042
Benign,,,"Compress_using_7z_sw, Do_git_repository, Encrypt_using_aescrypt, Disk indexing",503,2128833,30,34,512GB,Set 4,In-house,Windows,10043
Benign,,,"Anaconda_package, Compress_using_7z_sw, Install_package, Disk indexing",503,1591650,23,25,512GB,Set 4,In-house,Windows,10044
